2026-09-21 03:08:42 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[webkit] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-21 03:08:42 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[webkit] | Generated test user autotest_user_20260921_030842_cdb1b637@example.com
2026-09-21 03:08:42 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-21 03:08:42 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[webkit] | Cookie banner displayed - accepting
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering first name: Noah
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering last name: Hall
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering email: autotest_user_20260921_030842_cdb1b637@example.com
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering password: *****
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering zip code: 33797
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Clicking Create account button
2026-09-21 03:08:43 | INFO     | cocacola.ProfilePage         | gw0 | test_signup_duplicate_email[webkit] | Clicking Sign out link
2026-09-21 03:08:43 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-21 03:08:45 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[webkit] | Cookie banner not displayed - nothing to do
2026-09-21 03:08:45 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering first name: Noah
2026-09-21 03:08:46 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering last name: Hall
2026-09-21 03:08:46 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering email: autotest_user_20260921_030842_cdb1b637@example.com
2026-09-21 03:08:46 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering password: *****
2026-09-21 03:08:46 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Entering zip code: 33797
2026-09-21 03:08:46 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[webkit] | Clicking Create account button
2026-09-21 03:08:46 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[webkit] | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
