2026-09-21 03:08:59 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[webkit] | layer=ui ====
2026-09-21 03:08:59 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260921_030859_27e4e034@example.com
2026-09-21 03:08:59 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-21 03:09:00 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Entering first name: Carol
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Entering last name: Mitchell
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260921_030859_27e4e034@example.com
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Entering zip code: 74581
2026-09-21 03:09:00 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-21 03:09:00 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-21 03:09:00 | INFO     | cocacola.EditProfilePage | Entering first name: UpdSamantha
2026-09-21 03:09:00 | INFO     | cocacola.EditProfilePage | Entering zip code: 51741
2026-09-21 03:09:00 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-21 03:09:00 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-21/execution_03-08-33/ui/screenshots/test_profile_update_success__webkit__desktop__gw1__03-09-00-739904.png
2026-09-21 03:09:01 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[webkit] | PASSED ====
