2026-09-23 08:15:05 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[chromium] | layer=ui ====
2026-09-23 08:15:05 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260923_081505_c520f879@example.com
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-23 08:15:05 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Entering first name: Ana
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Entering last name: Wilson
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260923_081505_c520f879@example.com
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Entering zip code: 67042
2026-09-23 08:15:05 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-23 08:15:05 | INFO     | cocacola.ProfilePage     | Clicking Edit profile button
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage | Entering first name: UpdNatasha
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage | Entering zip code: 08552
2026-09-23 08:15:05 | INFO     | cocacola.EditProfilePage | Clicking Save changes button
2026-09-23 08:15:06 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-23/execution_08-14-45/ui/screenshots/test_profile_update_success__chromium__desktop__gw0__08-15-06-065594.png
2026-09-23 08:15:06 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_edit_profile[chromium] | PASSED ====
