2026-09-24 08:06:01 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[chromium] | layer=ui ====
2026-09-24 08:06:01 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | Generated test user autotest_user_20260924_080601_6f0391be@example.com
2026-09-24 08:06:01 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:06:02 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[chromium] | Cookie banner displayed - accepting
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering first name: Dawn
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering last name: Chang
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260924_080601_6f0391be@example.com
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering zip code: 50676
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-24 08:06:02 | INFO     | cocacola.ProfilePage         | gw0 | test_signup_duplicate_email[chromium] | Clicking Sign out link
2026-09-24 08:06:02 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-24 08:06:05 | INFO     | cocacola.CookieBanner        | gw0 | test_signup_duplicate_email[chromium] | Cookie banner not displayed - nothing to do
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering first name: Dawn
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering last name: Chang
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260924_080601_6f0391be@example.com
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Entering zip code: 50676
2026-09-24 08:06:05 | INFO     | cocacola.SignupPage          | gw0 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-24 08:06:06 | INFO     | cocacola.Fixtures            | gw0 | test_signup_duplicate_email[chromium] | ==== TEST END   | test_signup_duplicate_email[chromium] | PASSED ====
