2026-09-25 08:29:54 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[chromium] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[chromium] | layer=ui ====
2026-09-25 08:29:54 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[chromium] | Generated test user autotest_user_20260925_082954_3af5e428@example.com
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-25 08:29:54 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_duplicate_email[chromium] | Cookie banner displayed - accepting
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering first name: Dominic
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering last name: Miller
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260925_082954_3af5e428@example.com
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering zip code: 74948
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-25 08:29:54 | INFO     | cocacola.ProfilePage         | gw1 | test_signup_duplicate_email[chromium] | Clicking Sign out link
2026-09-25 08:29:54 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-25 08:29:57 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_duplicate_email[chromium] | Cookie banner not displayed - nothing to do
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering first name: Dominic
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering last name: Miller
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering email: autotest_user_20260925_082954_3af5e428@example.com
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering password: *****
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Entering zip code: 74948
2026-09-25 08:29:57 | INFO     | cocacola.SignupPage          | gw1 | test_signup_duplicate_email[chromium] | Clicking Create account button
2026-09-25 08:29:57 | INFO     | cocacola.Fixtures            | gw1 | test_signup_duplicate_email[chromium] | ==== TEST END   | test_signup_duplicate_email[chromium] | PASSED ====
