2026-09-07 03:08:45 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[chromium] | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_success[chromium] | layer=ui ====
2026-09-07 03:08:45 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[chromium] | Generated test user autotest_user_20260907_030845_ac37a76d@example.com
2026-09-07 03:08:45 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Navigating to http://127.0.0.1:8765/signup
2026-09-07 03:08:46 | INFO     | cocacola.CookieBanner        | gw1 | test_signup_success[chromium] | Cookie banner displayed - accepting
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Entering first name: Julie
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Entering last name: Hunt
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Entering email: autotest_user_20260907_030845_ac37a76d@example.com
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Entering password: *****
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Entering zip code: 03574
2026-09-07 03:08:46 | INFO     | cocacola.SignupPage          | gw1 | test_signup_success[chromium] | Clicking Create account button
2026-09-07 03:08:46 | INFO     | cocacola.ProfilePage         | gw1 | test_signup_success[chromium] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-07/execution_03-08-43/ui/screenshots/test_signup_success__chromium__desktop__gw1__03-08-46-482550.png
2026-09-07 03:08:46 | INFO     | cocacola.Fixtures            | gw1 | test_signup_success[chromium] | ==== TEST END   | test_signup_success[chromium] | PASSED ====
