2026-09-07 03:09:21 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-07 03:09:21 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260907_030921_7a7948f7@example.com
2026-09-07 03:09:21 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-07 03:09:21 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-07 03:09:21 | INFO     | cocacola.SignupPage      | Entering first name: Henry
2026-09-07 03:09:21 | INFO     | cocacola.SignupPage      | Entering last name: Clark
2026-09-07 03:09:21 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260907_030921_7a7948f7@example.com
2026-09-07 03:09:22 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-07 03:09:22 | INFO     | cocacola.SignupPage      | Entering zip code: 08631
2026-09-07 03:09:22 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-07 03:09:22 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-07 03:09:22 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-07 03:09:24 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Entering first name: Henry
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Entering last name: Clark
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260907_030921_7a7948f7@example.com
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Entering zip code: 08631
2026-09-07 03:09:24 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-07 03:09:25 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
