2026-09-06 15:41:01 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_view_profile[firefox] | layer=ui ====
2026-09-06 15:41:01 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260906_154101_d321fb7c@example.com
2026-09-06 15:41:01 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-06 15:41:01 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-06 15:41:01 | INFO     | cocacola.SignupPage      | Entering first name: Jessica
2026-09-06 15:41:01 | INFO     | cocacola.SignupPage      | Entering last name: Williams
2026-09-06 15:41:01 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260906_154101_d321fb7c@example.com
2026-09-06 15:41:02 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-06 15:41:02 | INFO     | cocacola.SignupPage      | Entering zip code: 20941
2026-09-06 15:41:02 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-06 15:41:02 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-06/execution_15-40-43/ui/screenshots/profile_view__firefox__desktop__gw0__15-41-02-237724.png
2026-09-06 15:41:02 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_view_profile[firefox] | PASSED ====
